epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1934.7,1.04849,2.76889,1.28215,0.68238,0.60458,0.65345,0.44448,1.08674,2.155,1.27984,0.00013862,0.00013862,0.00013862
2,14011.4,1.10164,2.01502,1.33502,0.68812,0.58028,0.62596,0.42509,1.12781,2.09067,1.31906,0.000263878,0.000263878,0.000263878
3,15788.5,1.11924,1.92989,1.34261,0.64814,0.55328,0.60239,0.40531,1.16482,1.93938,1.35992,0.000375375,0.000375375,0.000375375
4,17980,1.11345,1.8284,1.34079,0.71009,0.53772,0.61543,0.42548,1.15902,1.89656,1.33901,0.000355076,0.000355076,0.000355076
5,19711,1.10402,1.72258,1.32628,0.71458,0.57197,0.63539,0.43718,1.14403,1.72228,1.33386,0.000334434,0.000334434,0.000334434
