epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1316.27,1.00789,2.58034,1.3035,0.59865,0.52754,0.51965,0.35788,1.00938,1.78423,1.26409,0.000138776,0.000138776,0.000138776
2,3900.54,1.03282,1.73333,1.31604,0.57016,0.44573,0.44792,0.29502,1.07287,1.69065,1.29376,0.000222776,0.000222776,0.000222776
3,16568.1,1.01485,1.57855,1.29852,0.51752,0.27711,0.26395,0.17973,1.0276,1.5058,1.26527,0.000251733,0.000251733,0.000251733
4,1460.12,0.99781,1.58764,1.30435,0.66588,0.59588,0.62797,0.44362,0.9597,1.35784,1.21644,0.000169302,0.000169302,0.000169302
5,14551.2,0.92175,1.38212,1.24489,0.68323,0.52194,0.56101,0.40602,0.90628,1.23578,1.16503,8.6736e-05,8.6736e-05,8.6736e-05
