epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1273.87,1.00789,2.58034,1.3035,0.59801,0.53342,0.52489,0.36089,1.00938,1.78423,1.26409,0.000138776,0.000138776,0.000138776
2,5070.64,1.03282,1.73333,1.31604,0.5659,0.42423,0.42038,0.27866,1.07287,1.69065,1.29376,0.000222776,0.000222776,0.000222776
3,40921.4,1.01485,1.57855,1.29852,0.48974,0.23769,0.22431,0.15305,1.0276,1.5058,1.26527,0.000251733,0.000251733,0.000251733
4,124123,0.97031,1.4564,1.27112,0.62725,0.37562,0.38316,0.27366,0.97799,1.36635,1.22555,0.000169302,0.000169302,0.000169302
